gene	logFC	pval	adj_pval
CSMD1	1.08001119196385	2.2712110552347e-10	8.54114871087809e-10
CSPG4	1.19699395730611	1.97063330127673e-21	3.1644152104976e-20
CSPG5	1.19170192000065	1.77482859671116e-16	1.41544280615107e-15
CST1	1.41997503293312	1.41049312854599e-08	4.31676742814701e-08
CST7	-1.56032535579782	1.68050707028968e-21	2.70898390459475e-20
CTH	-1.84054349035595	5.50282944394263e-19	6.17058019532206e-18
CTHRC1	2.31495451378041	3.77166209618496e-16	2.86261245331231e-15
CTNNA2	1.52404446611008	1.01538401576098e-07	2.83361998329317e-07
CTSL2	1.84463828806506	1.38078345815683e-14	8.60504781346678e-14
CTTNBP2	-1.59594713933971	1.13605488535275e-17	1.05508008649716e-16
CXCL1	-1.15025106340049	9.21271567632928e-05	0.000182587647515157
CXCL12	-2.71997387544725	3.17420414568786e-32	2.30815927659364e-30
CXCL14	-4.01626671866371	2.20592881636247e-58	9.18328166251695e-55
CXCL2	-1.78278057662619	3.64206035654499e-24	8.57815969691473e-23
CXCL6	-2.89712163907202	1.85781696122726e-14	1.13653078759575e-13
CXCR6	-1.14602156479951	1.29131874148897e-12	6.26362938633101e-12
CXorf36	1.23183035729222	9.69683349622174e-24	2.16740498495415e-22
CYB5R2	-1.02135284120587	1.43812080722093e-11	6.2072544535622e-11
CYBB	-1.1233958906014	1.67938134045793e-15	1.17450894923584e-14
CYBRD1	-1.37999023528582	4.72191397158086e-18	4.60089593064743e-17
CYFIP2	-1.1509251755637	2.74359181569809e-14	1.63867614472757e-13
CYP17A1	1.33764966009974	3.76859409087213e-06	8.75849669242187e-06
CYP1A1	-2.57593260546893	7.81397740250301e-17	6.45748643704616e-16
CYP1A2	-3.92173360485394	7.56522378697205e-31	4.68312663571221e-29
CYP26A1	-3.19776568271572	2.01175321145144e-29	1.0244561002168e-27
CYP27B1	1.02181750529547	6.20839787878953e-14	3.52239323603418e-13
CYP2A6	-2.88936684189719	4.18154049310876e-15	2.78524049164988e-14
CYP2A7	-2.90992389257085	5.14928201260563e-15	3.38916379738771e-14
CYP2B6	-2.0212729157184	6.13095856697861e-20	7.84724996597447e-19
CYP2B7P1	-2.07535163120821	9.49088703295743e-11	3.74330295766952e-10
CYP2C18	-1.3748975710271	2.94145735371781e-13	1.53786963435193e-12
CYP2C19	-2.0604356779533	5.91120209272797e-16	4.35160642122485e-15
CYP2C8	-1.83897596794764	2.01985534729725e-17	1.81026002385327e-16
CYP2C9	-1.5626741682934	2.68617204813408e-13	1.41193614095735e-12
CYP2E1	-1.72405849204348	5.694328490381e-13	2.86904562849695e-12
